place_id,place_name,location,description,category,city,rating,lat,long,kelurahan,kecamatan,open_hour
74,De Ranch,"Jl. Maribaya No.17, Lembang, Kabupaten Bandung Barat, Jawa Barat 40391","De Ranch adalah destinasi wisata yang menawarkan suasana pedesaan dan aktivitas peternakan yang menarik di Bandung. Pengunjung dapat menikmati berbagai kegiatan seperti berkuda, memerah susu sapi, dan bersantai di taman yang hijau.",Taman Hiburan,Bandung,8.8,-6.8193,107.5981,Kertawangi,Cisarua,08:00 - 17:00
75,Skywalk Cihampelas,"Jl. Cihampelas, Cipaganti, Kec. Coblong, Kota Bandung, Jawa Barat 40131, Indonesia.",Skywalk Cihampelas adalah jembatan pejalan kaki melintang di atas Jalan Cihampelas yang terkenal dengan deretan toko-toko outlet. Menawarkan pemandangan kota Bandung yang cantik dari ketinggian.,Taman Hiburan,Bandung,9,-6.8173,107.6113,Kayuambon,Lembang,09:00 - 18:00
76,The Lodge Maribay,,The Lodge Maribay is a luxurious waterfront resort with stunning views of the lake. Guests can enjoy deluxe accommodations and a range of recreational activities.,Bahari,Bandung,8.6,-6.8901,107.6049,Cipaganti,Coblong,09:00 - 22:00
77,Gedung Merdeka Asia-Afrika,"Jl. Asia Afrika No. 65, Braga, Sumur Bandung, Kota Bandung, Jawa Barat 40111, Indonesia.","Gedung Merdeka Asia-Afrika merupakan bangunan bersejarah yang menjadi simbol pertemuan Konferensi Asia-Afrika pada tahun 1955. Bangunan ini terletak di Jalan Asia Afrika, Kota Bandung.",Pusat Perbelanjaan,Bandung,9,-6.8245,107.6569,Cibodas,Lembang,09:00 - 17:00
78,ZEN SPA,"Jalan Raya Kerobokan No. 100X, Kuta, Bali.",ZEN SPA adalah tempat mewah yang menawarkan pengalaman spa holistik untuk relaksasi dan penyembuhan tubuh yang lengkap. Suasana tenang dan pemandangan alami membuat pengunjung merasa damai dan nyaman selama perawatan spa mereka.,Pusat Perbelanjaan,Bandung,8.8,-6.9218,107.6072,Braga,Sumur Bandung,08:00 - 16:00
79,Gracia Resort,"Jl. Raya Seminyak No. 102, Seminyak, Bali, Indonesia",Gracia Resort adalah resor mewah dengan pemandangan laut yang spektakuler dan fasilitas lengkap. Resort ini menawarkan penginapan yang nyaman dan layanan yang ramah.,Taman Hiburan,Bandung,8.6,-6.9023,107.6186,Citarum,Bandung Wetan,09:00 - 21:00
80,Santera Delaponte,,Taman yang luas dengan air terjun yang indah di tengahnya. Banyak pepohonan rindang dan hewan-hewan yang berkeliaran bebas.,Taman Hiburan,Bandung,9,-6.8312,107.6071,Ciater,Ciater,24 Hours
81,Desa Wisata Pujon Kidul,"Malang, East Java, Indonesia.",Desa Wisata Pujon Kidul adalah destinasi wisata alam yang menawarkan udara sejuk dan pemandangan hijau yang menenangkan. Desa ini juga memiliki beragam fasilitas dan kegiatan menarik untuk dinikmati bersama keluarga dan teman.,Taman Hiburan,Bandung,8.8,-6.8276,107.6035,Gudangkahuripan,Lembang,09:00 - 21:00
82,Cafe Sawah,"Jl. Raya Kintamani, Br. Puhu, Abiansemal, Badung, Bali.","Cafe Sawah adalah sebuah warung makan yang terletak di tepi sawah, menyajikan menu masakan Indonesia dan pemandangan alam yang indah. Tempat tersebut cocok untuk menikmati makanan sambil menikmati keindahan alam pedesaan.",Pusat Perbelanjaan,Malang,9.2,-7.8367,112.4848,Pujon Kidul,Pujon,08:00 - 17:00
83,Air Terjun Coban Rondo," Dusun Gubugklakah, Pujon, Malang, East Java.","Coban Rondo Waterfall is a scenic natural waterfall surrounded by lush greenery in East Java, Indonesia.",Cagar Alam,Malang,8.8,-7.8367,112.4848,Pujon Kidul,Pujon,08:00 - 17:00
84,Museum Angkut,"Jl. Terusan Sultan Agung No. 2, Ngaglik, Batu, Malang, Jawa Timur.","Museum Angkut is a transportation museum located in Batu, Indonesia. It showcases a wide variety of vehicles from different eras and countries.",Taman Hiburan,Malang,9,-7.8831,112.5253,Pandesari,Pujon,07:00 - 16:00
85,Bukit Perahu,"Jalan Raya Lombok, Kerampitan, Kec. Bayan, Kabupaten Lombok Utara, Nusa Tenggara Barat 83354, Indonesia.","Bukit Perahu adalah tempat wisata yang memiliki pemandangan alam yang indah dan cocok untuk hiking. Lokasinya terletak di Muntilan, Magelang, Jawa Tengah.",Taman Hiburan,Malang,9.2,-7.8707,112.5216,Ngaglik,Batu,12:00 - 20:00
86,Widodaren Valley,,Widodaren Valley adalah lembah yang indah dengan hamparan sawah dan hutan yang hijau. Tempat ini menawarkan pemandangan alam yang menakjubkan dan udara segar yang menyegarkan.,Cagar Alam,Malang,8.6,-7.8897,112.5175,Ngaglik,Batu,08:00 - 17:00
87,Bukit Teletubies,"Bromo Tengger Semeru National Park in East Java, Indonesia.",Bukit Teletubbies adalah bukit yang terletak di Pulau Nusa Tenggara Timur yang terkenal dengan keindahan rumput hijau yang mirip dengan tempat tinggal Teletubbies. Bukit ini menjadi destinasi populer bagi para wisatawan yang ingin menikmati pemandangan alam yang memesona.,Taman Hiburan,Malang,9,-7.8886,112.5133,Ngaglik,Batu,08:00 - 17:00
88,Pasir Berbisik,"Jl. Raya Parangtritis, Jetis, Bantul, Yogyakarta",Pasir Berbisik adalah pantai indah dengan pasir putih lembut dan air laut yang jernih. Terdapat batu karang yang menjulang tinggi di sekitar pantai ini.,Taman Hiburan,Malang,8.6,-7.8909,112.5261,Ngaglik,Batu,08:00 - 17:00
89,Kawah Bromo,"Jl. Raya Bromo No.DA, Ngadisari, Sukapura, Probolinggo, Jawa Timur 67254, Indonesia","Kawah Bromo adalah sebuah kawah aktif yang terletak di Jawa Timur, Indonesia. Tempat ini merupakan salah satu objek wisata alam yang populer di Indonesia.",Cagar Alam,Malang,9,-7.9186,112.4827,Ngadas,Poncokusumo,24 Hours
90,Bukit Kingkong,,Bukit Kingkong adalah tempat wisata yang menawarkan pemandangan alam yang indah dan suasana yang sejuk. Tempat ini cocok untuk beristirahat dan menikmati keindahan alam.,Taman Hiburan,Malang,9.6,-7.9425,112.9536,Ngadas,Poncokusumo,24 Hours
91,Bukit Cinta,"Bandung, Indonesia.",Bukit Cinta adalah tempat wisata dengan pemandangan alam yang indah dan suasana romantis. Di sini pengunjung dapat menikmati panorama Kota Bandung dari ketinggian.,Cagar Alam,Malang,9,-7.9406,112.9603,Ngadas,Poncokusumo,24 Hours
92,Taman Labirin Coban Rondo,"Jalan Coban Rondo No. 1, Pandesari, Pujon, Malang, Jawa Timur 65157","Taman Labirin Coban Rondo adalah taman yang menampilkan labirin hijau dan indah di sekitar air terjun yang menakjubkan. Tempat ini merupakan destinasi wisata populer di Malang, Jawa Timur.",Taman Hiburan,Malang,8.8,-7.9412,112.953,Ngadas,Poncokusumo,24 Hours
93,Pananjakan,"Desa Ngadisari, Kecamatan Sukapura, Kabupaten Probolinggo, Jawa Timur",Pananjakan is a scenic viewpoint in Indonesia offering breathtaking views of Mount Bromo at sunrise. It is a popular destination for tourists and photographers.,Cagar Alam,Malang,9.2,-7.9359,112.9433,Ngadas,Poncokusumo,24 Hours
94,Batu Night Spectacular,"Jl. Bukit Barisan, Songgal 5, Kec. Sei Bangun, Kota Batu, Jawa Timur 65314","Recreation park with various attractions and activities at night. Located in Batu, East Java.",Taman Hiburan,Malang,9.2,-7.8864,112.5178,Oro-oro Ombo,Batu,15:00 - 23:00
95,Perkebunan Petani Bumiaji,"Bumiaji, Kota Batu, Jawa Timur","Perkebunan Petani Bumiaji adalah tempat yang luas dan subur, cocok untuk budidaya pertanian dan kebun. Terletak di daerah Bumiaji dengan akses yang mudah dan fasilitas yang lengkap.",Taman Hiburan,Malang,8.8,-7.8318,112.5142,Pandanrejo,Bumiaji,08:00 - 17:00
96,Pantai Balekambang,"Jl. Pantai Balekambang, Srigonco, Bantur, Kabupaten Malang, Jawa Timur",Pantai Balekambang merupakan pantai yang indah dengan tiga pulau kecil di sekitarnya. Pantai ini terkenal dengan keindahan alamnya serta ombak yang cocok untuk surfing.,Bahari,Malang,9,-8.4023,112.5688,Sumberbening,Bantur,24 Hours
97,Pantai Gua Cina,"Pantai Cermin, Lubuk Sakti, Bachok, Kelantan, Malaysia","Pantai Gua Cina memiliki gua batu kapur unik dengan air laut jernih yang indah. Pantai ini terletak di Perlis, Malaysia.",Cagar Alam,Malang,8.8,-8.4273,112.5738,Sitiarjo,Sumbermanjing,24 Hours
98,Sarkawi Lumajang,"Jalan Raya Sukowati No. 28, Lumajang, Jawa Timur","Deskripsi dua kalimat dari Sarkawi Lumajang: Tempat ini adalah salah satu destinasi wisata alam yang indah di Lumajang, Jawa Timur, dengan panorama alam yang menakjubkan dan udara segar yang menyegarkan.Tempat ini juga dikenal dengan air terjunnya yang memukau, membuat pengunjung terkesima dengan keindahan alamnya.",Cagar Alam,Malang,8.6,-8.0735,113.209,Labruk Kidul,Sumbersuko,08:00 - 17:00
99,Air terjun Tumpak Sewu,"Lumajang, East Java, Indonesia.","Tumpak Sewu waterfall is a stunning 120-meter high waterfall located in Lumajang, East Java.",Taman Hiburan,Malang,9.6,-8.2317,112.8933,Sidomulyo,Pronojiwo,08:00 - 17:00
100,Panorama Kapas Biru,"Desa Wonorejo, Kecamatan Boyolangu, Kabupaten Tulungagung, Jawa Timur",Panorama Kapas Biru adalah tempat wisata yang menawarkan pemandangan alam yang indah dengan air terjun yang menakjubkan. Tempat ini cocok untuk dikunjungi bersama keluarga atau teman untuk menikmati keindahan alam yang menawan.,Cagar Alam,Malang,9.2,-8.2258,112.901,Sidomulyo,Pronojiwo,08:00 - 17:00
101,Pantai Teluk Asmara,"Jl. Pantai Asmara, Sarangan, Magetan, Jawa Timur","Pantai Teluk Asmara adalah pantai yang indah dengan air jernih dan pasir putih. Pantai ini terletak di kota Malang, Jawa Timur.",Bahari,Malang,8.8,-8.398,112.5705,Tambakrejo,Sumbermanjing,24 Hours
102,Kampung Warna Warni,"Jl. Ir. Soekarno, Panjunan, Malang, Jawa Timur",Kampung Warna Warni adalah desa dengan rumah-rumah yang dihiasi dengan warna-warna cerah dan motif lucu. Tempat ini menjadi daya tarik wisata yang unik dan menarik untuk berfoto.,Taman Hiburan,Malang,9,-7.9775,112.6325,Jodipan,Blimbing,08:00 - 17:00
103,Jatim Park 1,"Jl. Kartika 2, Batu, East Java, Indonesia.",Jatim Park 1 adalah taman hiburan yang menawarkan berbagai wahana dan atraksi edukatif. Tempat ini cocok dikunjungi bersama keluarga untuk mengisi liburan.,Taman Hiburan,Malang,9,-7.8836,112.5335,Sisir,Batu,08:30 - 16:30
104,Air Terjun Madakaripura,"Sapih, Lumbang, Sukapura, Probolinggo, Jawa Timur","Air Terjun Madakaripura merupakan air terjun tertinggi di Indonesia dengan keindahan alam yang memukau, merupakan tempat yang cocok untuk menikmati keindahan alam dan merasakan ketenangan.",Cagar Alam,Malang,9.4,-7.8497,112.9635,Sapeh,Lumbang,08:00 - 16:00
105,Jatim Park 2,"Jl. Kartika No.2, Kota Batu, Jawa Timur 65314, Indonesia",Taman rekreasi dengan berbagai wahana seru dan edukatif untuk segala usia. Menawarkan pengalaman berlibur yang menyenangkan dan mendidik bagi seluruh anggota keluarga.,Taman Hiburan,Malang,9,-7.8855,112.5345,Temas,Batu,08:30 - 16:30
106,Jatim Park 3,"Jl. Oro-oro Ombo No.48, Batu, East Java",Taman hiburan dengan berbagai wahana dan atraksi interaktif di Malang. Menawarkan pengalaman bermain dan belajar bagi seluruh anggota keluarga.,Taman Hiburan,Malang,8.8,-7.8873,112.5335,Beji,Junrejo,11:00 - 20:00
107,Taman Langit – Oma Kayu Paralayang,"Jl. Sindoro No.KM 98, Suroteleng, Sumbing, Kec. Kledung, Kabupaten Temanggung, Jawa Tengah 56252, Indonesia",Taman Langit - Oma Kayu Paralayang adalah tempat rekreasi yang menawarkan wahana paralayang serta pemandangan indah di atas bukit. Tempat ini cocok untuk menikmati keindahan alam sambil merasakan sensasi terbang bebas.,Taman Hiburan,Malang,8.8,-7.8928,112.5287,Songgokerto,Batu,08:00 - 17:00
108,Malang Heritage Kayu Tangan,"Jl. Prof. M. Yamin No. 166A, Klojen, Kota Malang, Jawa Timur",A heritage shop in Malang specializing in handmade wooden crafts. Features a wide range of unique and intricate wooden souvenirs.,Cagar Alam,Malang,9,-7.9805,112.63,Kauman,Klojen,24 Hours
109,Gunung Batok,"Jawa Timur, Indonesia",Gunung Batok adalah sebuah gunung berapi yang terletak dekat dengan Gunung Bromo di Jawa Timur. Gunung ini terkenal dengan bentuknya yang simetris dan pemandangan yang indah.,Cagar Alam,Malang,9.2,-7.9414,112.9497,Ngadas,Poncokusumo,24 Hours
110,Pura Poten,"Jl. Kemang Raya No. 45, Jakarta Selatan","Pura Poten adalah sebuah pura laut yang terletak di tengah Danau Batur, Bali. Bangunan pura ini didedikasikan untuk Dewi Danu, dewi air dan pertanian dalam agama Hindu.",Taman Hiburan,Malang,9.2,-7.942,112.9534,Ngadas,Poncokusumo,24 Hours
111,Malang Night Paradise,"Jalan Malang Night Paradise, Jl. Abdul Gani Atas No.KM, Sariwangi, Kec. Bantur, Malang, Jawa Timur 65153","Malang Night Paradise adalah taman hiburan malam yang menawarkan berbagai atraksi unik seperti light show dan wahana permainan modern. Pengunjung dapat menikmati suasana magis dan menyenangkan di Malang Night Paradise yang terletak di Kota Malang, Jawa Timur.",Taman Hiburan,Malang,9.2,-7.9534,112.6287,Karanglo,Singosari,17:30 - 23:00
112,Padang Savana Teletubies,,Padang Savana Teletubies adalah padang rumput yang luas dengan pemandangan indah di latar belakangnya. Tempat ini sering dijadikan lokasi untuk acara-acara outdoor dan foto prewedding.,Taman Hiburan,Malang,9.4,-7.9509,112.9457,Ngadas,Poncokusumo,24 Hours
113,Tanah Lot,"Jalan Tanah Lot, Beraban, Kediri, Kabupaten Tabanan, Bali 8217",Tanah Lot adalah sebuah pura di Bali yang terletak di atas batu karang di tepi laut. Tempat ini merupakan salah satu objek wisata populer di Bali yang menawarkan pemandangan matahari terbenam yang spektakuler.,Tempat Ibadah,Bali,9.4,-8.6208,115.0862,Beraban,Kediri,07:00 - 19:00
114,Desa Panglipuran,"Bangli Regency, Bali, Indonesia.","Desa Panglipuran adalah sebuah desa adat yang terletak di Bali, Indonesia. Desa ini dikenal karena keindahan arsitektur tradisionalnya.",Bahari,Bali,9.2,-8.4172,115.348,Kubu,Bangli,08:00 - 18:00
115,Alas Harum,"Tirta Empul Temple, Bali","Alas Harum is a tranquil forest located in Bali, Indonesia. It is known for its lush greenery and serene atmosphere.",Bahari,Bali,9.2,-8.444,115.2687,Tegallalang,Tegallalang,08:00 - 18:00
116,Pantai Kuta,"Jalan Pantai Kuta, Kuta, Kabupaten Badung, Bali 80361, Indonesia",Pantai Kuta adalah pantai berpasir putih yang populer di Bali. Pantai ini terkenal dengan ombaknya yang cocok untuk berselancar.,Pusat Perbelanjaan,Bali,9,-8.7199,115.1692,Kuta,Kuta,24 Hours
117,Pantai Pandawa,"Jalan Nusa Dua Selatan, Kutuh, Kuta Selatan, Badung, Bali","Pantai Pandawa adalah pantai berpasir putih yang indah di Kuta Selatan, Bali. Pantai ini dikenal dengan tebing kapur di sepanjang garis pantainya.",Bahari,Bali,9.2,-8.845,115.1928,Kutuh,Kuta Selatan,08:00 - 18:00
118,Krisna,,Pantai yang indah dengan pasir putih dan air biru yang jernih.,Taman Hiburan,Bali,8.8,-8.7307,115.1677,Tuban,Kuta,10:00 - 22:00
119,Pantai Melasti,"Jalan Raya Uluwatu, Desa Ungasan, Kuta Selatan, Badung, Bali, Indonesia",Pantai Melasti adalah pantai berpasir putih dengan air laut yang jernih. Pantai ini terletak di ujung selatan Bali dan dikelilingi oleh tebing-tebing yang indah.,Bahari,Bali,9.2,-8.8264,115.1684,Ungasan,Kuta Selatan,08:00 - 18:00
120,Tanjung Benoa Water Sport,"Jl. Pratama No.78, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia","Tanjung Benoa Water Sport adalah destinasi wisata air yang populer di Bali yang menawarkan berbagai aktivitas seru seperti snorkeling, jet ski, dan banana boat.Tempat ini memiliki pemandangan indah pantai pasir putih dan air laut yang jernih serta staf yang ramah dan profesional.",Bahari,Bali,8.8,-8.7645,115.2228,Tanjung Benoa,Kuta Selatan,08:00 - 17:00
121,Uluwatu,"Pantai Uluwatu, Pecatu, Badung, Bali",Uluwatu adalah sebuah tempat wisata populer di Bali yang terkenal dengan pemandangan tebing yang menakjubkan serta keragaman kegiatan olahraga air yang tersedia. Uluwatu juga terkenal dengan keberadaan Pura Luhur Uluwatu yang merupakan salah satu pura suci umat Hindu di Bali yang menyajikan pemandangan matahari terbenam yang spektakuler.,Taman Hiburan,Bali,9.2,-8.8296,115.0832,Pecatu,Kuta Selatan,07:00 - 19:00
122,Bedugul Ulun Danu Beratan,"Jl. Raya Candi Kuning, Candikuning, Baturiti, Tabanan, Bali 82191, Indonesia",Bedugul Ulun Danu Beratan is a beautiful temple located on Lake Beratan in Bali. The temple is known for its stunning reflection in the calm waters of the lake.,Tempat Ibadah,Bali,9.4,-8.2775,115.1658,Candikuning,Baturiti,07:00 - 18:00
123,Mengening Temple,"Cemagi, Mengwi, Badung, Bali, Indonesia.","Mengening Temple adalah sebuah kompleks kuil Hindu yang indah di desa Cemagi, Bali, Indonesia. Kuil ini terletak di tebing yang menghadap ke Samudera Hindia.",Tempat Ibadah,Bali,9,-8.3416,115.3518,Tampaksiring,Tampaksiring,08:00 - 17:00
124,Tegenungan Waterfall,"Jalan Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581, Indonesia","Tegenungan Waterfall adalah air terjun yang indah di desa Kemenuh, Gianyar, Bali. Air terjun ini dikelilingi oleh hutan tropis dan memiliki debit air yang cukup besar.",Cagar Alam,Bali,9.2,-8.575,115.2905,Kemenuh,Sukawati,08:00 - 18:00
125,Tegalalang Rice Terrace,"Jalan Raya Tegalalang, Tegalalang, Kabupaten Gianyar, Bali","Tegalalang Rice Terrace is a beautiful terraced rice field located in Ubud, Bali, known for its stunning green landscapes and traditional Balinese irrigation system.",Cagar Alam,Bali,9.2,-8.4341,115.2784,Tegallalang,Tegallalang,08:00 - 18:00
126,Warung Dewa Malen,"Jalan Raya Mas, Br. Penestanan Kaja, Ubud, Bali",Warung Dewa Malen adalah warung makan yang menyajikan masakan Indonesia autentik dengan harga terjangkau. Tempatnya nyaman dan cocok untuk berkumpul dengan teman atau keluarga.,Taman Hiburan,Bali,9,-8.5716,115.272,Lodtunduh,Ubud,08:00 - 22:00
127,Taman Ayun Temple,"Mengwi, Bali","Taman Ayun Temple is a beautiful Hindu temple complex located in Mengwi, Bali. It is surrounded by a large moat and lush garden, with traditional Balinese architecture and intricate carvings.",Tempat Ibadah,Bali,9,-8.5407,115.1688,Mengwi,Mengwi,08:00 - 18:00
128,Pura Batu Bolong,"Jl. Pantai Batu Bolong, Canggu, Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Pura Batu Bolong adalah sebuah pura yang letaknya di atas tebing dengan pemandangan laut yang indah. Tempat ini cocok untuk menikmati matahari terbenam dan merasakan ketenangan spiritual.,Cagar Alam,Bali,9,-8.6378,115.0862,Canggu,Kuta Utara,07:00 - 18:00
129,Pulau Nusa Penida,"Jalan Ped, Pejukutan, Nusa Penida, Kabupaten Klungkung, Bali",Pulau Nusa Penida adalah destinasi wisata yang terkenal dengan pemandangan pantainya yang indah serta aktivitas snorkeling dan diving yang menarik.,Cagar Alam,Bali,9.4,-8.7276,115.544,Batununggul,Nusa Penida,24 Hours
130,Pantai Diamond,"Jalan Dato Haji Said, Kampung Tanjung Gemuk, 25050 Kuantan, Pahang, Malaysia",Pantai Diamond adalah sebuah pantai yang indah di Pulau Tioman dengan air jernih dan pasir putih yang lembut.,Bahari,Bali,9.4,-8.7576,115.6037,Batununggul,Nusa Penida,07:00 - 18:00
131,Kelingking Beach,"Karang Dawa, Bunga Mekar, Nusa Penida, Kabupaten Klungkung, Bali 80771, Indonesia","Kelingking Beach is a stunning hidden beach in Nusa Penida, Indonesia with a rugged cliff formation that resembles a T-Rex head. The turquoise blue waters and white sandy beach make it a perfect spot for a picturesque getaway.",Bahari,Bali,9.6,-8.7492,115.4873,Bunga Mekar,Nusa Penida,07:00 - 18:00
132,Pasih Uug Beach,"Pasih Uug Beach, Bali, Indonesia","Pasih Uug Beach adalah pantai yang terkenal dengan terowongan karang alaminya yang indah. Pantai ini juga dikenal sebagai ""Broken Beach"" karena terowongan karangnya yang membentuk cincin sempurna.",Bahari,Bali,9.4,-8.7492,115.4873,Bunga Mekar,Nusa Penida,24 Hours
133,Ulun Danu Bratan Temple,"Ulun Danu Bratan Temple located in Candikuning, Baturiti, Tabanan Regency, Bali, Indonesia.","Ulun Danu Bratan Temple adalah sebuah candi Hindu yang terletak di tepi Danau Bratan di Bali, Indonesia. Candi ini dikenal karena arsitektur tradisional Bali dan lokasinya yang indah di tengah-tengah pegunungan.",Tempat Ibadah,Bali,9.4,-8.2775,115.1658,Candikuning,Baturiti,07:00 - 18:00
134,Wanagiri Hidden Hills,"Wanagiri, Buleleng, Bali, Indonesia.","Wanagiri Hidden Hills adalah tempat wisata yang menawarkan pemandangan dan spot foto yang menarik. Terletak di desa Wanagiri, Buleleng, Bali.",Cagar Alam,Bali,9,-8.2165,115.1288,Wanagiri,Sukasada,08:00 - 18:00
135,Lovina Beach,"Jalan Pantai Lovina, Kalibukbuk, Buleleng, Bali, Indonesia.",Lovina Beach merupakan pantai yang tenang dan indah di Bali utara. Pantainya terkenal dengan lumba-lumba yang sering terlihat berenang di sekitar perairannya.,Bahari,Bali,8.8,-8.1599,115.0277,Kalibukbuk,Buleleng,24 Hours
136,Gilimanuk,"Jalan Raya Gilimanuk, Gilimanuk, Jembrana, Bali",Gilimanuk adalah sebuah kawasan pelabuhan di Bali yang terkenal dengan keindahan pantainya yang memukau dan merupakan gerbang utama untuk menuju Pulau Jawa.,Bahari,Bali,8.6,-8.1945,114.4292,Gilimanuk,Melaya,24 Hours
137,Ijen Craters,"East Java, Indonesia","The Ijen Craters are a group of volcanic crater lakes located in East Java, Indonesia. The most famous feature of the area is the blue flames that can be seen at night.",Cagar Alam,Bali,9.6,-8.0583,114.2428,Tamansari,Licin,24 Hours
138,Beer Brothers,,Beer Brothers adalah tempat hangout yang cozy dengan desain industrial yang modern dan menyediakan berbagai pilihan bir lokal dan internasional. Suasana yang ramai dan penuh keceriaan menjadikan tempat ini menjadi favorit bagi para pecinta bir.,Taman Hiburan,Bali,9,-8.7237,115.1787,Legian,Kuta,10:00 - 22:00
139,Broken Beach and Angel’s Billabong,"Broken Beach: Nusa Penida, Bali; Angel's Billabong: Nusa Penida, Bali",Broken Beach adalah pantai terpencil dengan laguna alami yang dikelilingi tebing curam. Angel's Billabong adalah kolam alami yang tersembunyi di ujung pulau Nusa Penida.,Cagar Alam,Bali,9.6,-8.7322,115.4537,Sakti,Nusa Penida,24 Hours
140,Crystal Bay,"Jl. Raya Penida, Sakti, Klungkung, Bali 80771, Indonesia",Crystal Bay adalah pantai yang indah dengan pasir putih dan air kristal yang jernih. Di sini pengunjung dapat menikmati pemandangan alam yang menakjubkan dan berbagai kegiatan air seperti snorkeling.,Taman Hiburan,Bali,9.4,-8.7199,115.4501,Sakti,Nusa Penida,07:00 - 18:00
141,Kehen Temple,"Br. Kengetan, Kemenuh, Sukawati, Gianyar, Bali 80582, Indonesia","Kehen Temple is a beautiful Hindu temple located in the Bangli Regency of Bali, Indonesia. It is known for its ornate architecture and tranquil surroundings.",Tempat Ibadah,Bali,9.2,-8.4126,115.3645,Cempaga,Bangli,08:00 - 17:00
142,Besakih Temple,"Besakih Temple - Karangasem, Bali","Besakih Temple is the largest and holiest temple in Bali, Indonesia. It is located on the slopes of Mount Agung.",Tempat Ibadah,Bali,9.4,-8.3782,115.451,Besakih,Rendang,08:00 - 17:00
143,Tirta Empul Temple,"Manukaya, Tampaksiring, Kabupaten Gianyar, Bali 80552, Indonesia","Tirta Empul Temple terletak di sisi barat Gunung Agung di Bali, Indonesia. Kuil ini terkenal dengan kolam suci yang digunakan untuk ritual pembersihan diri.",Tempat Ibadah,Bali,9.2,-8.4195,115.312,Manukaya,Tampaksiring,08:00 - 17:00
144,Elephant Cave,"Jl. Raya Goa Gajah, Bedulu, Blahbatuh, Kabupaten Gianyar, Bali",Elephant Cave is a historical site in Bali known for its ancient stone carvings and Hindu relics.,Cagar Alam,Bali,9.2,-8.52,115.2905,Bedulu,Blahbatuh,08:00 - 17:00
145,Badung Market Denpasar Bali,"Jl. Gajah Mada, Dangin Puri, Denpasar, Bali 80117, Indonesia","Pasarnya hiruk-pikuk dengan berbagai penjual dan pengunjung yang ramai, menjual beragam barang mulai dari pakaian hingga souvenir khas Bali. Suasana tradisional Bali sangat terasa di setiap sudut tempat ini.",Pusat Perbelanjaan,Bali,8.8,-8.6562,115.2178,Pemecutan Klod,Denpasar Barat,05:00 - 18:00
146,Catur Muka Statue,"Jalan Pemuda, Jember, Jawa Timur","Patung Catur Muka adalah patung Batara Brahma yang memiliki empat wajah, terletak di Kawasan Taman Mini Indonesia Indah, Jakarta. Patung ini menjadi salah satu daya tarik wisata yang populer di Jakarta.",Taman Hiburan,Bali,9,-8.6562,115.2178,Pemecutan Klod,Denpasar Barat,24 Hours
147,Kuta Puri Bungalows Spa,"Kuta Puri Bungalows Spa address: Jalan Benesari, Poppies Lane 2, Kuta, Badung, Bali 80361, Indonesia.","Kuta Puri Bungalows Spa adalah sebuah tempat akomodasi yang menawarkan penginapan sekaligus layanan spa di kawasan Kuta, Bali. Amenities yang disediakan antara lain kolam renang, restoran, dan fasilitas spa lengkap.",Taman Hiburan,Bali,8.8,-8.7267,115.1705,Kuta,Kuta,09:00 - 22:00
148,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud, Kabupaten Gianyar, Bali 80571, Indonesia","Sacred Monkey Forest Sanctuary adalah hutan tropis yang digunakan sebagai tempat pemeliharaan monyet-monyet ekor panjang dan berbagai spesies tumbuhan langka. Sanctuary ini terletak di Ubud, Bali, dan juga dikenal sebagai tempat penelitian primata dan pelestarian alam.",Taman Hiburan,Bali,9.4,-8.5195,115.2585,Padangtegal,Ubud,08:00 - 18:00
149,D Alas Warung Restaurant,"Jalan Pantai Balangan No. 8, Ungasan, Bali",,Taman Hiburan,Bali,9,-8.5338,115.2688,Kelusa,Payangan,08:00 - 22:00
150,Nusa Dua Beach,"Nusa Dua Beach is located in Nusa Dua, Bali, Indonesia.",Nusa Dua Beach adalah destinasi pantai yang indah dan berpasir putih dengan air laut yang tenang dan jernih. Pantai ini terkenal sebagai tempat yang cocok untuk aktivitas snorkeling dan selancar.,Bahari,Bali,9.2,-8.8015,115.2295,Benoa,Kuta Selatan,24 Hours
151,Water Blow,"Nusa Dua, Bali, Indonesia",Water Blow adalah area pantai yang terkenal di Nusa Dua yang terkenal dengan gejala alamnya yang unik di mana air laut dipercikan tinggi ke udara. Keindahan alamnya dapat dinikmati sambil menikmati pemandangan Samudra Hindia yang luas.,Bahari,Bali,9.2,-8.8089,115.2258,Benoa,Kuta Selatan,24 Hours
152,Garuda Wisnu Kencana Cultural Park,"Jl. Raya Uluwatu, Ungasan, Kuta Selatan, Badung, Bali 80364, Indonesia.",Garuda Wisnu Kencana Cultural Park adalah taman budaya yang terkenal di Bali dengan patung Garuda Wisnu Kencana setinggi 121 meter. Tempat ini menawarkan pemandangan alam yang indah serta berbagai acara budaya dan seni yang menarik.,Bahari,Bali,9,-8.8138,115.1668,Ungasan,Kuta Selatan,08:00 - 21:00
